company_name,headquarter
Castle Rock Entertainment,United States
Paramount Pictures,United States
Alfran Productions,
American Zoetrope,United States
Coppola Company,United States
Warner Bros.,United States
Legendary Entertainment,United States
Syncopy,United States
Universal Pictures,United States
Amblin Entertainment,United States
New Line Cinema,United States
WingNut Films,New Zealand
Saul Zaentz Company,United States
Fox 2000 Pictures,United States
New Regency Productions,United States
Lucasfilm,United States
Quad Production,France
Ten Films,United States
UTV Motion Pictures,India
Aamir Khan Productions,India
Walt Disney Pictures,United States
